text,label
"WOW! Not until people like Brett Hume tweeted out bashing CNN for their fake news did CNN finally retract a lie about Trump.CNN has FINALLY corrected a Tuesday report after the release of former FBI Director James Comey s opening statement for his Thursday testimony in front of the Senate Intelligence Committee contradicted the reports  sources.The CNN report said Comey was expected to dispute President Trump s claims that Comey said he was not under investigation on multiple occasions.The report, titled  Comey expected to refute Trump,  was based on unnamed sources and said Comey s conversations with the president  were much more nuanced,  and that Trump drew the wrong conclusion.The story was complied by four CNN journalists, including Gloria Borger, Eric Lichtblau, Jake Tapper and Brian Rokus.Borger reiterated the reports claims in an appearance on CNN Tuesday. Comey is going to dispute the president on this point if he s asked about it by senators, and we have to assume that he will be,  said Borger, the network s chief political analyst.  He will say he never assured Donald Trump that he was not under investigation, that that would have been improper for him to do so. Comey s opening statement did, however, mention asserting that Trump was not under investigation, however the statement failed to specify whether Trump was not under criminal investigation, but only said there was no counter-intelligence investigation on the president.Read more: The Hill",0
"COX S BAZAR, Bangladesh (Reuters) - The World Food Program (WFP) appealed on Sunday for 75 million dollars in emergency aid over the next six months to help alleviate the suffering of Rohingya Muslims fleeing violence in Myanmar. Since August 25th, hundreds of thousands of Rohingya Muslims have fled their homes in majority Buddhist Myanmar, overwhelming aid agencies in neighbouring Bangladesh.  The bottom line? This is a deplorable situation. This is as bad as it gets. We need 75 million for the next six months,  David Beasley, WFP executive director, told reporters after visiting refugee camps in Bangladesh near the Myanmar border.  I say we can end world hunger with a few billion dollars. I tell donors, if you can t give us the money, stop the wars,  added Beasley, whose U.N. agency is the main humanitarian organisation battling hunger worldwide. The United Nations is currently seeking 200 million dollars from donors to help tackle the crisis among the Rohingya Muslims. ",1
"When Republican Indiana Governor Mike Pence signed HB 1337 into law last week, he wasn t expecting women to personally keep him informed about their bodily functions. But that is exactly what is happening since Pence and Republicans made a new law banning abortion based on race or gender, requiring doctors to have admitting privileges at local hospitals, and forces doctors  to provide information about perinatal hospice care to a pregnant woman who is considering an abortion because the unborn child has been diagnosed with a lethal fetal anomaly. In other words, women considering an abortion will be lectured by their doctor after being informed about any lethal fetal anomaly. Once a woman is informed of such an anomaly, she will no longer be able to get an abortion because the new law prohibits abortions in such cases. That means women are going to be forced to carry fetuses with anomalies to term, regardless of viability, which means women could end up giving birth to babies that will suffer and die soon after being born.In response to this latest attack on a woman s right to choose, women are actually calling in to inform Governor Pence of their reproductive cycle status and the phone conversations are comedy gold. I need to get a message to the Governor that I am on day three of my period. My flow seems abnormally heavy, but my cramps are much better to  she tells the person who answered before being interrupted. Ma am, what is it that I can help you with?  the person asks. Oh, I don t need your help, I just wanted to keep Governor Pence informed of my reproductive cycle, since he seems so concerned,  the woman replied.The phone calls are the result of a call-to-action campaign led by a group known as  Periods for Pence,  which seeks to give women a voice in the state since Pence and Republicans didn t really consider what women think before imposing their anti-abortion agenda on all women in Indiana. The more I read this bill, the more vague language I found and the more loopholes, and it just seemed incredibly intrusive,  the creator of the campaign told WRTV.  So I wanted to give a voice for women who really didn t feel like they were given any kind of input into a bill that would affect our life so much. The campaign s Facebook page even generously provided the number to reach the Governor s Office, which is 317-232-4567, for those of you who want to know, and women started calling the number to keep Pence updated on what s going on with their uterus since Pence and the GOP want to know so desperately. And it led to the call above and this one: Good Morning,  a woman said upon reaching the Governor s office.  I just wanted to inform the Governor that things seem to be drying up today. No babies seem to be up in there. Okay? Upon being asked her name, the woman replied that her name is Sue Magina.  That s M-A-G-I-N-A. It rhymes with  she said before being cut off.Here s the video:Yeah, this campaign is perfect and I m sure Governor Pence is super-stoked about receiving constant updates on what s going on with women s reproductive cycles. So women should definitely call him and make sure to provide as many details as possible. After all, he clearly wants to know since he can t stop invading women s privacy to regulate their reproductive health decisions. Featured image via Indiana Talks",0
"WASHINGTON (Reuters) - Advocacy groups launched petitions and sent letters on Wednesday urging two of the biggest U.S. public pension funds to divest from an investment fund unless it stops paying one of President Donald Trump’s companies to run a New York hotel. Reuters reported on April 26 that public pension funds in at least seven U.S. states periodically send millions of dollars to an investment fund that owns the upscale Trump SoHo Hotel and Condominium in New York City and pays a Trump company to run it, according to a Reuters review of public records. Two legal advocacy groups sent petitions to half a million of their members and letters urging state officials who oversee the California Public Employees’ Retirement System (CalPERS) and the New York State Common Retirement Fund to reconsider their investments in CIM Fund III, which owns the Trump SoHo.  “The money used for this investment comes from mandatory deductions from the paychecks of public employees. These employees are thus forced to indirectly subsidize President Trump beyond the Constitution’s mandate of a fixed salary,” said the letters from Free Speech for People in Newton, Massachusetts, and Courage Campaign in Los Angeles. Article II of the U.S. Constitution bars the president from receiving additional payments beyond his salary from state governments. The fees that public pension funds pay CIM may fall into that category, several constitutional lawyers have told Reuters. The White House in June rejected the allegation that government payments to Trump’s businesses violated the Constitution and said “partisan politics” had motivated lawsuits challenging Trump’s continued ownership of his businesses. The advocacy groups urged the pension funds either to divest from the CIM fund or work with other investors to demand that CIM end its relationship with the Trump Organization. CalPERS declined to comment, but CalPERS officials disclosed in response to a public records request that the pension fund paid CIM $1,722,418 in management fees for the first three months of 2017. In a statement, a spokesman for New York State Comptroller Thomas DiNapoli noted that the CIM fund was in the process of gradually selling off the properties it owns and said the New York state pension fund “has limited rights as an investor and does not make or control CIM’s investment choices.”  CIM said in a statement that it “is committed to creating attractive investment opportunities for its investors and then overseeing those investments to produce the best outcomes possible for the funds it manages.” It added that the Trump SoHo was underperforming and said it was “working hard to restore its performance before we bring it to market.” The White House and the Trump Organization did not respond to multiple requests for comment.   Democratic officials and lawmakers have also raised concerns over the payment chain between the public pension funds and the Trump SoHo.  The public pension funds’ investments in CIM Fund III were cited in a June lawsuit that the attorneys general of Maryland and the District of Columbia filed against Trump, alleging that government payments to his businesses violated the Constitution. In May, the top Democrat on the Senate committee overseeing pensions asked the U.S. Office of Government Ethics to assess the constitutionality of the payments. The office said it was not authorized to probe presidential actions. ",1
"WASHINGTON (Reuters) - U.S. President-elect Donald Trump officially announced Sonny Perdue as his choice for secretary of agriculture on Thursday, selecting a former Georgia governor over candidates from the Midwest states that dominate U.S. agricultural exports. Perdue, who was on Trump’s agricultural advisory committee during his presidential campaign, has yet to be confirmed in the post by the Republican-led Senate. He was elected to two terms as governor of Georgia, a leading producer of cotton and peanuts, serving from 2003 to 2011. Before that, he was a state senator, representing a rural swath of the state about 100 miles (160 km) south of Atlanta. “From growing up on a farm to being governor of a big agriculture state, he has spent his whole life understanding and solving the challenges our farmers face,” Trump said in a statement. Trump takes office on Friday. At least one Midwestern Senator raised questions about Perdue’s preparedness. Senator Chuck Grassley, a Republican from the top corn and soybean state of Iowa, tweeted: “I’m interested in how MidWest Ag will hv a seat at the table.” Key issues facing the agricultural community include trade and immigration. Georgia accounted for just 2 percent of total U.S. agriculture exports in 2015. Ranking 15th among all states in the value of its agricultural production, it generated $9.122 billion in commodity receipts, according to USDA data. Iowa ranked second with $27.674 billion. California is top, with $47.008 billion. Perdue acknowledged the concerns in an email to Trump’s agricultural advisory committee. “While I know some may be disappointed over regional or geographical concerns, I promise each of you I will diligently apply myself to learn all I can regarding the needs and challenges in this vast, wonderful industry we call American Agriculture, or nature’s factories,” Perdue said in a email to the advisory committee. Grassley, whose Midwest state helped deliver Trump the presidency, stressed in a statement the need for the secretary to understand farming in the Midwest, “the strength of American agriculture.” Trade is seen as critical to reviving a moribund farm economy, where incomes have been falling with lower grain prices. Farm incomes in 2016 are expected to have hit their lowest levels since 2009. Agriculture relies heavily on seasonal and casual labor and farmers are concerned tough immigration rules could make it harder to find workers while raising costs. Trump has raised tensions on immigration with his pledge to build a wall at the Mexican-U.S. border. Four of the past five agriculture secretaries have come from Midwest states. Perdue, if he is confirmed, would be the first from a southern state since Mike Espy, who was from Mississippi and served from January 1993 to December 1994.  Perdue, who holds a doctorate in veterinary medicine and served in the U.S. Air Force, founded a grain and fertilizer business in Georgia. “I’m going to champion the concerns of American agriculture and work tirelessly to solve the issues facing our farm families in this new role,” he said in a statement. Perdue’s cousin David Perdue is serving his first term representing Georgia in the U.S. Senate. The nominee is not related to the late chicken magnate Frank Perdue. ",1
"RAMALLAH, West Bank (Reuters) - Palestinian President Mahmoud Abbas on Tuesday urged the Pope and the leaders of Russia, France and Jordan to intervene against Trump s declared intention to move the U.S. Embassy in Israel to Jerusalem, Abbas s spokesman said.  President Abbas spoke after his call with President Trump with the presidents of Russia and France, with the Pope and with King Abdullah of Jordan. He told them such a move was rejected and he urged them to intervene to prevent it from happening,  Nabil Abu Rdainah told Reuters. He said Abbas was not informed about the timing of the planned transfer of the embassy from Tel Aviv to Jerusalem. ",1
"(Reuters) - President Donald Trump told Congress on Tuesday that more needs to be done to bring down “artificially high” prices for prescription drugs, while at the same time praising a drug that turns out to cost $300,000 per year. During the televised address, Trump acknowledged in the audience Megan Crowley, a college student who has Pompe disease - a rare muscle disorder that can be treated with an expensive enzyme replacement therapy.  “But our slow and burdensome approval process at the Food and Drug Administration keeps too many advances, like the one that saved Megan’s life, from reaching those in need,” the president said. “If we slash the restraints, not just at the FDA but across our Government, then we will be blessed with far more miracles like Megan.” Trump has in the past excoriated drugmakers for charging “astronomical” prices, while acknowledging how “complicated” the nation’s healthcare system is. Representatives of the Trump administration could not immediately be reached for comment on Wednesday on whether the president believes the treatment price for Pompe disease is fair.  Trump’s comments on Tuesday night highlight an issue central to the industry and investors - the potential for deregulation of the FDA, the agency charged with approving pharmaceutical products. “I think Trump used this example somewhat cynically as a way of trying to advance the deregulatory agenda,” said Dr. Aaron Kesselheim, a researcher at Harvard Medical School. “The FDA’s standards actually promote innovation because patients don’t want just any old drug - they want drugs that work.” Megan’s father, John Crowley, now chief executive at Amicus Therapeutics Inc, started a biotech company in 1998 to seek a treatment for Pompe disease.  In 2006, the FDA - after a nine-month review - approved infused enzyme replacement therapy Myozyme for patients born with the condition. A similar drug, Lumizyme, was approved in 2010 for late-onset Pompe disease and is now used regardless of a patient’s age.  The average annual cost of treatment is $298,000, according to Paris-based Sanofi SA, which now owns the drugs. Under the Orphan Drug Act of 1983, drugs for rare diseases - defined as those that treat fewer than 200,000 patients - are given a range of incentives including seven years of marketing exclusivity.    “Pharmaceutical companies know they get a free pass for very expensive drugs for orphan diseases, whereas they don’t for mainstream diseases,” said Joel Hay, professor of pharmaceutical economics and policy at the University of Southern California. The National Organization for Rare Disorders (NORD) applauded Trump’s recognition, but disagreed with the idea that the regulatory process needs an overhaul.     “Our patients deserve the same quality therapies as everyone else, and to weaken the standards will only threaten our population with unsafe, ineffective therapies,” NORD said in a statement on Wednesday.      Pompe disease, affecting 5,000 to 10,000 people worldwide, prevents the body from making enough of an enzyme used by heart and muscle cells to convert a form of sugar called glycogen into energy. When glycogen builds up in these cells it can lead to disability and death. NORD estimates that around 30 million Americans suffer from 7,000 rare diseases.  ",1
"WASHINGTON (Reuters) - U.S. Democratic Senator Patty Murray said Tuesday she thought a bipartisan deal to repair Obamacare was still possible, despite the announcement by her negotiating partner, Republican Senator Lamar Alexander, that they had failed to reach an agreement. Murray, in a statement, said she had made some “tough concessions” in the talks, when it came to giving states more flexibility under Obamacare. She was disappointed that Republican leaders had decided to “freeze” the bipartisan approach “but I am confident that we can reach a deal if we keep working together — and I am committed to getting that done.” Alexander and Murray had been working to protect the government payments made to insurers to help reduce medical expenses for low-income Americans enrolled in Obamacare. Alexander also wanted states to have more flexibility to design insurance plans under the program. ",1
" 21st Century Wire says Once again, Operation Mockingbird has been deployed in order to bury another damaging White House scandal. It happened on Secretary of State Hillary Clinton s watch: the 2012 attacks on the covert US facility in Benghazi, Libya has been covered up from the beginning, and according to Ohio Republican Rep. Jim Jordan, that should  disqualify her from being commander in chief. I ve said all along I m for the nominee, for Mr. Trump, but we also have to remember when you compare Mr. Trump s positions with Secretary Clinton s, there s a big difference,  said Jordan, to Chris Cuomo on CNN s New Day  program.SEE ALSO: CIA GATEKEEPER? CNN s Chris Cuomo says Americans are  criminals  for reading WikiLeaks  Clinton email dumpIn order to cover-up 2011-2012 US gun-running through Libya and into Syria, and to help deflect another scandal away from Democratic Party candidate Hillary Clinton, the White House turned again to Obama appointee   Attorney General Loretta Lynch, who then ordered the DOJ to drop all charges against the State Department and CIA middleman and arms dealer, Marc Turi, who brokered many of Washington s illegal weapons deals in Benghazi,. Federal court records obtained by Politico confirm: The deal averts a trial that threatened to cast additional scrutiny on Hillary Clinton s private emails as Secretary of State, and to expose reported Central Intelligence Agency attempts to arm rebels fighting Libyan leader Moammar Qadhafi. The fact that CNN and its media operative Chris Cuomo did not pursue this clear scandal of a politicized DOJ working to whitewash illegal US government activities in Benghazi   proves that CNN is not interested in journalism and more interested in protecting those guilty parties within the establishment.Watch as Congressman Jordan knocks back media gatekeeper Cuomo when the CNN host tries desperately to deflect away from any accountability by Hillary Clinton and the White House https://www.youtube.com/watch?v=kWn23jxe630. Have CNN s production ranks been infiltrated and taken over by CIA operatives? One would think so, judging by how they covered this, and other important stories.How long can CNN and their media operatives like Chris Cuomo keep up this pseudo media facade?READ MORE LIBYA NEWS AT: 21st Century Wire Libya FilesSUPPORT OUR WORK  SUBSCRIBE & BECOME A MEMBER @21WIRE.TV",0
"Sen. Richard Burr (R., NC.), chairman of the Senate Intelligence Committee, scolded Democratic Sen. Kamala Harris (D-Calif.) for not allowing Deputy Attorney General Rod Rosenstein to answer her questions during a committee hearing on Wednesday. Harris repeatedly interrupted the Deputy AG Rude, Rude, Rude!Harris was asking Rosenstein about the authority of former FBI Director Robert Mueller in his current role as special counsel to investigate interference by Russia in the 2016 presidential election. Rosenstein started to answer the question several times before Harris cut him off over and over leading Burr to intervene: Will the senator suspend. The chair is going to exercise it s right to allow the witnesses to answer the question. And the committee is on notice to provide the witnesses the courtesy, which has not been extended all the way across, extend the courtesy for questions to get answered. Political demagogue Harris then blurted out that Rosenstein is known for  joking  about his ability to  filibuster .Prior to Burr s comments, Sen. John McCain (R., Ariz.) asked the chairman to intervene after Harris repeatedly interrupted Rosenstein as he started to answer her questions.We reported on Ms. Harris yesterday she s rude, rude, rude! ",0
